Çağrı No;Açılış Tarihi;Açan Birim;Birim/Şube;Servis;Ekran;Durum;2. Seviye Kullanıcı Destek Çözen/Yönlendiren;Atanan TM;Çözüm Kodu;Çözüm Tarihi
140932124;26.09.2025 10:07;Pendik İstasyon İstanbul Şubesi;Şube;Ticari Krediler Servisi;Ticari Kredi Kullandırım Talep Giriş;Çözüldü/Kapalı;İbrahim;2. Seviye Kullanıcı Destek;Kullanıcı Hatası/Bilgi Eksikliği;26.09.2025 10:29
140932258;26.09.2025 10:12;Antalya Şubesi;Şube;Skorlama Servisi;Skor Talep Girişi;Çözüldü/Kapalı;Akif;2. Seviye Kullanıcı Destek;Kullanıcı Hatası/Bilgi Eksikliği;26.09.2025 10:50
140932735;26.09.2025 10:11;Larende Konya Şubesi;Şube;Kredi Tahsis Yönetimi Servisi;TKD Kredi Başvuruları Listele;Çözüldü/Kapalı;İbrahim;2. Seviye Kullanıcı Destek;Kullanıcı Hatası/Bilgi Eksikliği;26.09.2025 10:40
140932746;26.09.2025 10:13;Akyaka İstanbul Şubesi;Şube;Müşteri Hizmet ve Bilgi Servisi;Müşteri Detay Bilgileri  ;Çözüldü/Kapalı;Tuğba;2. Seviye Kullanıcı Destek;Kullanıcı Hatası/Bilgi Eksikliği;26.09.2025 12:15
140932866;26.09.2025 10:14;Dijital Bankacılık Müdürlüğü;Birim;İnternet Bankacılığı Servisi;Mobil Bankacılık İşlemleri;Aktarıldı;İbrahim;UDK.DijitalKanalOrtakCozumler;;
140934596;26.09.2025 10:18;Meydan/Kahramanmaraş Şubesi;Şube;Kredi Tahsis Yönetimi Servisi;Plato Kullanılabilir Limit Görüntüle;Çözüldü/Kapalı;Tuğba;2. Seviye Kullanıcı Destek;Program/Yazılım Güncellemesi ile Çözüldü;29.09.2025 11:59
140934682;26.09.2025 10:20;Mobilyacılar Sitesi/Adana Şubesi;Şube;Ticari Krediler Servisi;TKD Kullandırım Talebi Girişi;Çözüldü/Kapalı;İbrahim;2. Seviye Kullanıcı Destek;İş Birimleri ile İlgili/İş Kuralı;26.09.2025 10:51
140935825;26.09.2025 10:20;Hendek Şubesi;Şube;Kredi İzleme Servisi;TKD Aksiyon Detay Görüntüle;Çözüldü/Kapalı;Tuğba;2. Seviye Kullanıcı Destek;Kayıt iptal edildi;26.09.2025 11:43
140936898;26.09.2025 10:23;Müşteri İletişim Merkezi Müdürlüğü;Birim;Uygulama Altyapı Servisi;Çağrı Karşılama Grubu Listesi;Çözüldü/Kapalı;Nursema;2. Seviye Kullanıcı Destek;Program/Yazılım Güncellemesi ile Çözüldü;26.09.2025 11:14
140938728;26.09.2025 10:28;Söke Şubesi;Şube;Kredi Tahsis Yönetimi Servisi;TKD Kredi Başvuruları Listele;Çözüldü/Kapalı;Tuğba;2. Seviye Kullanıcı Destek;Kullanıcı Hatası/Bilgi Eksikliği;26.09.2025 11:15
140938781;26.09.2025 10:30;Evren Sanayi Sitesi/Şanlıurfa Şubesi;Şube;Ticari Krediler Servisi;Ticari Kredi Kullandırım Talep Giriş;Çözüldü/Kapalı;Nursema;2. Seviye Kullanıcı Destek;Kullanıcı Hatası/Bilgi Eksikliği;26.09.2025 11:52
140941385;26.09.2025 10:38;Meşrutiyet Şubesi;Şube;Kurum Ödemeleri Servisi;;Çözüldü/Kapalı;Akif;2. Seviye Kullanıcı Destek;Kullanıcı Hatası/Bilgi Eksikliği;26.09.2025 11:28
140941699;26.09.2025 10:36;Fatih Sultan Mehmet Bulvarı/Bursa Şubesi;Şube;Kredi Teminat Yönetimi Servisi;TKD Şube Teminat Talebi;Çözüldü/Kapalı;İbrahim;2. Seviye Kullanıcı Destek;Kullanıcı Hatası/Bilgi Eksikliği;26.09.2025 10:47
140941742;26.09.2025 10:38;Kaman Kırşehir Şubesi;Şube;Ticari Krediler Servisi;Ticari Krediler Hata Log Ekranı;Çözüldü/Kapalı;Yavuz;2. Seviye Kullanıcı Destek;Telefon ile Kayıt Durum Bilgisi Verildi;29.09.2025 11:35
140942370;26.09.2025 10:36;Bölge Finansal Değerlendirme Koordinasyon Müdürlüğü;Birim;Uygulama Altyapı Servisi;İş Akışı;Aktarıldı;Nursema;UİT.İstihbarat ve Skorlama;;
140944358;26.09.2025 10:43;Bağlıca/Ankara Şubesi;Şube;Kredi Tahsis Yönetimi Servisi;Ticari Kredi Başvurusu Yap;Çözüldü/Kapalı;İbrahim;2. Seviye Kullanıcı Destek;Kullanıcı Hatası/Bilgi Eksikliği;26.09.2025 12:15
140945172;26.09.2025 10:44;Atışalanı İstanbul Şubesi;Şube;Kredi Tahsis Yönetimi Servisi;Plato Limit Risk Eşleştir;Çözüldü/Kapalı;İbrahim;2. Seviye Kullanıcı Destek;Kullanıcı Hatası/Bilgi Eksikliği;26.09.2025 11:12
140945340;26.09.2025 10:45;Bulancak Şubesi;Şube;Kredi Tahsis Yönetimi Servisi;Yeniden Yapılandırma Başvurusu ;Çözüldü/Kapalı;Akif;2. Seviye Kullanıcı Destek;Kullanıcı Hatası/Bilgi Eksikliği;26.09.2025 15:17
140947419;26.09.2025 10:47;Darıca Kocaeli Şubesi;Şube;Kredi Teminat Yönetimi Servisi;TKD Teminat Yetki İşlemleri;Çözüldü/Kapalı;Akif;2. Seviye Kullanıcı Destek;Kullanıcı Hatası/Bilgi Eksikliği;26.09.2025 15:01
140947503;26.09.2025 10:46;Gebze Organize Sanayi Şubesi;Şube;Kredi İzleme Servisi;TKD EUS Limit Bloke Listesi;Çözüldü/Kapalı;Tuğba;2. Seviye Kullanıcı Destek;Kullanıcı Hatası/Bilgi Eksikliği;29.09.2025 10:40
140947590;26.09.2025 10:53;Adana Organize Sanayi Şubesi;Şube;Kredi Tahsis Yönetimi Servisi;Ticari Kredi Başvuru Yap;Çözüldü/Kapalı;Nursema;2. Seviye Kullanıcı Destek;Kullanıcı Hatası/Bilgi Eksikliği;26.09.2025 13:53
140948863;26.09.2025 10:52;Türkmenbaşı Bulvarı Adana Şubesi;Şube;Kredi Tahsis Yönetimi Servisi;Ticari Kredi Kullandırım;Çözüldü/Kapalı;İbrahim;2. Seviye Kullanıcı Destek;Kullanıcı Hatası/Bilgi Eksikliği;26.09.2025 11:27
140949974;26.09.2025 10:51;Larende Konya Şubesi;Şube;Skorlama Servisi;Skor Talep Girişi;Çözüldü/Kapalı;İbrahim;2. Seviye Kullanıcı Destek;Kullanıcı Hatası/Bilgi Eksikliği;29.09.2025 15:50
140949978;26.09.2025 10:52;Ortaca Şubesi;Şube;Uygulama Altyapı Servisi;İş Akışı;Çözüldü/Kapalı;Nursema;2. Seviye Kullanıcı Destek;İş Akışı İptal/Kilit Kaldır;26.09.2025 11:01
140950395;26.09.2025 10:53;Yıldıztepe İstanbul Şubesi;Şube;Ticari Krediler Servisi;Ticari Kredi Kullandırım Talep Giriş;Çözüldü/Kapalı;Yavuz;2. Seviye Kullanıcı Destek;Kullanıcı Hatası/Bilgi Eksikliği;26.09.2025 16:28
140951374;26.09.2025 11:00;İzmit Şubesi;Şube;Kredi Teminat Yönetimi Servisi;TKD Teminat Listeleme;Çözüldü/Kapalı;İbrahim;2. Seviye Kullanıcı Destek;İş Birimleri ile İlgili/İş Kuralı;26.09.2025 12:03
140951483;26.09.2025 10:56;İstanbul Gayrettepe Şubesi;Şube;Ticari Krediler Servisi;Ticari Kredi Kullandırım Talep Giriş;Çözüldü/Kapalı;Tuğba;2. Seviye Kullanıcı Destek;Program/Yazılım Güncellemesi ile Çözüldü;26.09.2025 12:24
140951944;26.09.2025 10:56;Yatırım Kredileri Müdürlüğü 1;Birim;Ticari Krediler Servisi;Firma Kredi Teklif İşlemleri;Aktarıldı;Tuğba;UTK.Limit Risk Yönetimi;;26.09.2025 13:58
140952548;26.09.2025 10:58;Salıpazarı Şubesi;Şube;Pos Servisi;İlave POS Talep Giriş;Çözüldü/Kapalı;İbrahim;2. Seviye Kullanıcı Destek;Kullanıcı Hatası/Bilgi Eksikliği;26.09.2025 14:46
140952571;26.09.2025 10:59;Kozyatağı Kurumsal Şubesi;Birim;Kredi Kartları Yönetimi Servisi;Kredi Kartı Borç Öde;Çözüldü/Kapalı;Akif;2. Seviye Kullanıcı Destek;Kullanıcı Hatası/Bilgi Eksikliği;29.09.2025 10:38
140952598;26.09.2025 10:57;Dokuma/Antalya Şubesi;Şube;Kredi Tahsis Yönetimi Servisi;Yeniden Yapılandırma Başvurusu ;Çözüldü/Kapalı;İbrahim;2. Seviye Kullanıcı Destek;Kullanıcı Hatası/Bilgi Eksikliği;26.09.2025 11:44
140955347;26.09.2025 11:04;Karamürsel Şubesi;Şube;Fiyatlama Yönetimi Servisi;VFA Kobi Yetki Talep;Çözüldü/Kapalı;Nursema;2. Seviye Kullanıcı Destek;Kullanıcı Hatası/Bilgi Eksikliği;26.09.2025 12:23
140955708;26.09.2025 11:05;Gebze Şubesi;Şube;Kredi Tahsis Yönetimi Servisi;Ticari Kredi Başvurusu Yap;Çözüldü/Kapalı;Yavuz;2. Seviye Kullanıcı Destek;Kullanıcı Hatası/Bilgi Eksikliği;26.09.2025 17:35
